name,muscle_groups,keywords,video
Incline DB Bench,"chest, shoulders, triceps","incline, DB, dumbbell, bench, chest, press, compound",https://youtube.com/shorts/9gxKeqCcn58?si=yBx5SM8ur87umtds
Leg Press,"legs, quads, hamstrings, glutes","leg press, legs, press, quads, compound",https://youtube.com/shorts/Q1LHKe0hHJU?si=Ys39zT4jamHkuk5h
DB Lateral Raise,"shoulders, side delts, medial delts","lateral raise, dumbbell, shoulder, raise, lateral, delt",https://youtube.com/shorts/o9b-Zr6YA0c?si=7Ai2_klUFtWmgQBf
Preacher Curl,biceps,"preacher, curl, bicep, supported",https://youtube.com/shorts/u9R7bAVIw84?si=XJ1WqSdyYX0kZX0q
Chest Supported Row,"back, traps, lats, rhomboids","back, row, traps, kelso, lats, supported, ",https://youtube.com/shorts/SkRBxA5cXI4?si=loAEzB7bLIdz3NkB
Kelso Shrug,"back, traps, lats, rhomboids","back, kelso, row, traps",https://youtube.com/shorts/SkRBxA5cXI4?si=loAEzB7bLIdz3NkB
Cable Lateral Raise,"shoulders, side delts, medial delts","lateral raise, cable, shoulder, raise, lateral, delt",https://youtube.com/shorts/F5iA4tC-cKk?si=TgJ1OF47ucPqRmHV
Single Arm Tricep Extension,"triceps, medial tricep","tricep, extension, push down, cable, single, arm",https://youtube.com/shorts/7E48lENoS0o?si=RurNK6C_3x_RVRnO
Assisted Dip,"triceps, chest, shoulders","dip, assisted, tricep, push, chest, shoulders",https://youtube.com/shorts/dtnshULi5eQ?si=yg0fQj5v0d1pM1rf
DB Shoulder Press,"shoulders, front delts","shoulder, press, front, delt, dumbbell",https://youtube.com/shorts/pWC-k4mFAvY?si=VOkqWDQt4XTlL7PL
Leg Extension,"quads, legs","leg, extension, quad, quads, rectus, femoris",https://youtube.com/shorts/WOi-OjgdsoU?si=ttxjGJOcKdpYpRZK